"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"WASH7P"	289.234563366928	-0.423772763270477	0.241950161779392	-1.75148782771581	0.0798619161856948	0.203831656373
"WASH9P"	143.701051127817	0.111583779929305	0.195724736401745	0.570105659512897	0.568606036831247	0.71984886654622
"LINC01128"	270.15479418825	-0.0289813407590046	0.132704960653599	-0.218389279618981	0.827125817589787	0.903120247678972
"NOC2L"	5335.80009265594	-0.774300368720631	0.115323020472936	-6.71418738032742	1.89117159577408e-11	1.62543148380015e-09
"KLHL17"	111.670846580064	-0.178737352041386	0.21326131158721	-0.838114286698901	0.401966519819897	0.579043898901456
"PLEKHN1"	169.963594899537	-0.647214224446737	0.357715890112304	-1.80929682559963	0.0704049019034251	0.186988457567271
"HES4"	883.383412710506	-0.432940787462161	0.18425201648701	-2.34972075593368	0.0187874997682055	0.0716656325559109
"ISG15"	397.667664105143	-0.00344773544223317	0.35643769723866	-0.00967275759254125	0.992282376403068	0.996170747433434
"AGRN"	4842.2543163852	-0.126816808372023	0.128016732549894	-0.990626817651333	0.321867837711375	0.506581170989881
"LOC100288175"	121.339113733591	-0.379211503595449	0.235055607843104	-1.61328422272132	0.106682772662508	0.246561820781227
"RNF223"	90.2388756663795	-0.820886988040981	0.33830631001079	-2.42646076573269	0.0152468988067495	0.0615699260089473
"C1orf159"	360.717630226032	-0.119197080465469	0.184318254770124	-0.646691672586248	0.517831513690304	0.680062246193043
"SDF4"	6526.12730173485	-0.331806496538509	0.101978018865864	-3.2537060459563	0.00113910083835304	0.00875150021253703
"B3GALT6"	1394.77388418919	-0.221014101107227	0.151601400109079	-1.45786319221462	0.144878255956748	0.301900438008569
"C1QTNF12"	149.789455765491	-0.671561017289685	0.270854137716837	-2.47941945044888	0.0131596449659283	0.0553561068001571
"UBE2J2"	2556.05554544437	-0.41442315042585	0.146248202095216	-2.83369740269379	0.00460128792855131	0.0251738635663904
"ACAP3"	869.957974688588	-0.358994008018524	0.173266787972491	-2.07191471729435	0.0382733952091975	0.12079990423905
"PUSL1"	1586.32174786633	-0.103273244128299	0.186714086623651	-0.553109012800202	0.580188765483848	0.729005968810621
"INTS11"	2514.38558835089	-0.249353435907362	0.129622065448667	-1.92369590041837	0.0543927122111136	0.155231300787587
"CPTP"	1843.54264615115	-0.252633404478468	0.150451026798863	-1.67917368098931	0.0931181997312731	0.225303424776611
"TAS1R3"	17.2201884136872	-0.49368417501162	0.492637824827645	-1.0021239745128	0.31628372015337	0.500699404264082
"DVL1"	2093.13088408579	-0.778170859800675	0.144643645048562	-5.37991737929043	7.45200310642415e-08	2.61940858532408e-06
"MXRA8"	342.779688321057	-0.570823339967504	0.131911453883266	-4.32732202673354	1.50933213436754e-05	0.000248545397948633
"AURKAIP1"	7421.25757349648	-0.473285860951544	0.274260830145661	-1.72567792746846	0.0844053711315579	0.211045111526767
"CCNL2"	812.458173812782	0.547422467812526	0.133151134783119	4.11128653694304	3.93460540780587e-05	0.000544307510309344
"MRPL20-AS1"	782.64289774847	0.497645118453354	0.150740762675232	3.30133077225779	0.000962273644436245	0.00762765120208349
"MRPL20"	2893.04083827286	-0.562933276487498	0.228891277513468	-2.45939156180547	0.013917273408192	0.0576869683708568
