"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"WASH7P"	289.234563366928	-1.47120913222718	0.244763420956996	-6.01073937631254	1.84679096628609e-09	9.85300330511145e-09
"WASH9P"	143.701051127817	-0.0665534392911869	0.193351978038406	-0.344208732521823	0.730689315516223	0.777557557417295
"LINC01128"	270.15479418825	-0.487641311256255	0.132820028872614	-3.67144409917232	0.000241183834895588	0.000589267641539472
"NOC2L"	5335.80009265594	-1.18837699336541	0.115282616801018	-10.3083797569984	6.45808833527071e-25	1.46816813656103e-23
"KLHL17"	111.670846580064	-0.799482486175946	0.215401741105343	-3.7115878547377	0.000205963155629644	0.000509155902634648
"PLEKHN1"	169.963594899537	-2.10809300012221	0.364996635328811	-5.77565050215629	7.66563444204335e-09	3.75585075531083e-08
"HES4"	883.383412710506	-1.95196757957253	0.186898178627433	-10.4440160621556	1.56065316249321e-25	3.66684681318069e-24
"ISG15"	397.667664105143	0.456609590880497	0.355039129747673	1.28608244168751	0.198414291227856	0.255167022660247
"AGRN"	4842.2543163852	0.600360648504867	0.127567761812317	4.7062097819678	2.52364826217925e-06	8.60067591423687e-06
"LOC100288175"	121.339113733591	-1.07189692384438	0.237710904344988	-4.50924591279473	6.50584618369919e-06	2.08343468411636e-05
"RNF223"	90.2388756663795	-1.4966596447837	0.341205903542417	-4.38638261895619	1.15251314355242e-05	3.54590764397351e-05
"C1orf159"	360.717630226032	-0.532068471162972	0.184083478037988	-2.89036515842651	0.00384794569824554	0.00743578946794706
"SDF4"	6526.12730173485	-0.302234760548211	0.101773422884593	-2.9696825750956	0.0029810760792817	0.00589576833850813
"B3GALT6"	1394.77388418919	-1.02133948056233	0.152068461017855	-6.71631365061564	1.86379392789006e-11	1.27069921736701e-10
"C1QTNF12"	149.789455765491	-0.907887585441803	0.269117507407154	-3.37357310636889	0.000741993405629704	0.00165298263374564
"UBE2J2"	2556.05554544437	-0.691940392428668	0.146087832310313	-4.73646833884755	2.17474697898651e-06	7.48050071109173e-06
