GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024DAK3	A0A024DAK3	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A024R1X5	BECN1	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A024R1Y5	LGP2	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A024R1Y5	LGP2	involved_in	GO:0039536	negative regulation of RIG-I signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q99J87|ensembl:ENSMUSP00000017974	9606	Ensembl		P
UniProtKB	A0A024R1Y5	LGP2	involved_in	GO:1900246	positive regulation of RIG-I signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q99J87|ensembl:ENSMUSP00000017974	9606	Ensembl		P
UniProtKB	A0A024R1Y5	LGP2	involved_in	GO:1900245	positive regulation of MDA-5 signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q99J87|ensembl:ENSMUSP00000017974	9606	Ensembl		P
UniProtKB	A0A024R6N1	TRAF3	involved_in	GO:0050688	regulation of defense response to virus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR027128|InterPro:IPR037304	9606	InterPro		P
UniProtKB	A0A024R756	IRF5	involved_in	GO:0051607	defense response to virus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR029838	9606	InterPro		P
UniProtKB	A0A024R7C7	ILF3	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A024R7H5	BST2	involved_in	GO:0051607	defense response to virus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR024886	9606	InterPro		P
UniProtKB	A0A024R8F1	CARD9	involved_in	GO:0051607	defense response to virus	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AIV8|ensembl:ENSMUSP00000097876	9606	Ensembl		P
UniProtKB	A0A024RAV6	KCNJ8	involved_in	GO:0051607	defense response to virus	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97794|ensembl:ENSMUSP00000145440	9606	Ensembl		P
UniProtKB	A0A024RBQ5	OAS3	involved_in	GO:0051607	defense response to virus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR026774	9606	InterPro		P
UniProtKB	A0A024RBQ5	OAS3	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A087WWA0	IRF5	involved_in	GO:0051607	defense response to virus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR029838	9606	InterPro		P
UniProtKB	A0A087WWS6	IFNA13	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A087X0V5	OAS2	involved_in	GO:0051607	defense response to virus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR026774	9606	InterPro		P
UniProtKB	A0A087X0V5	OAS2	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A087X2G1	DDX1	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A0A0MQU8	IFNA6	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A0B4J1S7	PTPN22	involved_in	GO:0002230	positive regulation of defense response to virus by host	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P29352|ensembl:ENSMUSP00000029433	9606	Ensembl		P
UniProtKB	A0A0C4DGW8	IFNL3	involved_in	GO:0051607	defense response to virus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR029177	9606	InterPro		P
UniProtKB	A0A0G2UM11	IRF5	involved_in	GO:0051607	defense response to virus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR029838	9606	InterPro		P
UniProtKB	A0A0G2USB5	IRF5	involved_in	GO:0051607	defense response to virus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR029838	9606	InterPro		P
UniProtKB	A0A0G2UUJ1	IRF5	involved_in	GO:0051607	defense response to virus	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR029838	9606	InterPro		P
UniProtKB	A0A0S2Z3C7	CD40	involved_in	GO:0051607	defense response to virus	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P27512|ensembl:ENSMUSP00000017799	9606	Ensembl		P
UniProtKB	A0A2D3E5G9	A0A2D3E5G9	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A2R8Y5D2	SAMHD1	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A2R8Y6J9	SAMHD1	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A2R8YCS7	SAMHD1	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A2R8YD90	SAMHD1	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A2R8YF51	SAMHD1	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A3B3IRK8	IFIH1	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A3B3IRQ9	ADAR	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A3B3ISX1	ADAR	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A3B3ITG9	ADAR	involved_in	GO:0051607	defense response to virus	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0051	9606	UniProt		P
UniProtKB	A0A3G9HN97	DDX60	involved_in	GO:0051607	defense response to virus	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:E9PZQ1|ensembl:ENSMUSP00000091197	9606	Ensembl		P
